School_deID,GradeLevel,StudentGender,StudentEthnicity,Special_Education,Homeless,SocioEconomically,TestDayName,OverallScore,OverallLevel,ExpectedAttendanceDays,DaysAttended,EnrolledPct,GradeAttendedPct,TeacherGender,TeacherTotalYearsOfService,TeacherEthnicity,OverallScoreStd,TotalAssessments,Growth
2,3,1,4,0,0,1,5,1435,1,180.0,178.0,1.0,3.988888888888889,0,35,7,0.5459770114942529,4,-1
2,4,1,4,0,0,1,4,1520,3,170.0,164.0,0.9444444444444444,4.964705882352941,0,24,7,0.6368330464716007,4,2
3,5,0,4,0,0,0,6,1539,3,170.0,143.0,0.9444444444444444,5.841176470588235,0,22,3,0.6695352839931153,5,0
3,1,0,4,0,0,1,0,1444,3,180.0,175.0,1.0,1.9722222222222223,0,4,3,0.6163522012578616,5,0
3,2,0,4,0,0,1,5,1494,3,180.0,175.0,1.0,2.9722222222222223,0,13,7,0.6254545454545455,5,0
3,3,0,4,0,0,1,5,1430,1,180.0,176.0,1.0,3.977777777777778,1,20,3,0.5363984674329502,5,-2
3,4,0,4,0,0,0,0,1522,3,180.0,177.0,1.0,4.983333333333333,0,18,3,0.6402753872633391,5,2
7,5,1,4,0,0,0,0,1544,3,170.0,165.0,0.9444444444444444,5.970588235294118,0,20,3,0.6781411359724613,5,0
7,1,1,4,0,0,1,5,1439,3,180.0,179.0,1.0,1.9944444444444445,0,30,3,0.6058700209643606,5,0
7,2,1,4,0,0,1,0,1487,3,180.0,179.0,1.0,2.9944444444444445,0,15,3,0.6127272727272727,5,0
7,3,1,4,0,0,1,6,1415,1,180.0,179.0,1.0,3.994444444444445,0,19,7,0.5076628352490421,5,-2
7,4,1,4,0,0,0,1,1538,3,180.0,176.0,1.0,4.977777777777778,0,28,3,0.6678141135972461,5,2
4,0,0,4,0,0,1,1,1397,2,180.0,172.0,1.0,0.9555555555555556,0,6,3,0.4490909090909091,2,0
4,1,0,4,0,0,1,6,1403,1,180.0,174.0,1.0,1.9666666666666668,0,19,7,0.5303983228511531,2,-1
8,1,1,4,0,0,1,6,1434,2,180.0,165.0,1.0,1.9166666666666663,0,9,3,0.5953878406708596,4,0
8,3,1,4,1,0,1,4,1435,1,180.0,177.0,1.0,3.983333333333333,0,14,3,0.5459770114942529,4,-1
8,4,1,4,1,0,1,0,1502,3,180.0,173.0,1.0,4.961111111111111,0,16,3,0.6058519793459552,4,2
8,5,1,4,1,0,1,4,1506,2,170.0,163.0,0.9444444444444444,5.958823529411765,0,17,3,0.612736660929432,4,-1
7,1,0,4,0,0,1,5,1485,4,180.0,172.0,1.0,1.955555555555556,0,30,3,0.7023060796645703,2,0
7,2,0,4,0,0,1,0,1535,4,180.0,175.0,1.0,2.9722222222222223,0,15,3,0.7,2,0
8,5,0,4,0,0,1,0,1477,2,180.0,179.0,1.0,5.9944444444444445,0,5,7,0.5628227194492255,1,0
8,2,1,3,0,0,1,5,1526,4,180.0,180.0,1.0,2.999999,0,10,2,0.6836363636363636,1,0
9,1,0,4,0,0,1,0,1499,4,180.0,160.0,1.0,1.8888888888888888,0,15,3,0.7316561844863732,4,0
9,2,0,4,0,0,1,1,1559,4,180.0,172.0,1.0,2.955555555555556,0,27,3,0.7436363636363637,4,0
9,4,0,4,0,0,0,5,1526,3,180.0,176.0,1.0,4.977777777777778,0,14,3,0.6471600688468159,4,-1
9,5,0,4,0,0,0,5,1625,4,170.0,144.0,0.9444444444444444,5.847058823529411,0,15,3,0.8175559380378657,4,1
6,5,1,4,0,0,1,0,1482,2,170.0,130.0,0.9444444444444444,5.764705882352941,0,14,2,0.5714285714285714,5,0
6,1,1,4,0,0,0,0,1446,3,180.0,175.0,1.0,1.9722222222222223,0,14,3,0.6205450733752621,5,0
6,2,1,4,0,0,0,4,1474,3,180.0,168.0,1.0,2.9333333333333336,0,14,3,0.5890909090909091,5,0
6,3,1,4,0,0,0,6,1423,1,180.0,173.0,1.0,3.9611111111111112,0,20,3,0.5229885057471264,5,-2
6,4,1,4,0,0,1,4,1453,1,180.0,156.0,1.0,4.866666666666667,0,10,3,0.5215146299483648,5,0
3,3,1,4,0,0,1,1,1485,2,180.0,163.0,1.0,3.905555555555555,1,10,3,0.6417624521072797,4,0
3,4,1,4,0,0,1,1,1515,3,180.0,172.0,1.0,4.955555555555556,0,8,3,0.6282271944922547,4,1
3,5,1,4,0,0,1,6,1495,2,180.0,171.0,1.0,5.95,0,6,7,0.5938037865748709,4,-1
3,6,1,4,0,0,1,0,1510,2,180.0,122.0,1.0,6.677777777777778,0,35,3,0.6217616580310881,4,0
0,2,0,4,0,0,1,0,1452,2,180.0,173.0,1.0,2.9611111111111112,0,13,3,0.5490909090909091,3,0
0,4,0,4,0,0,1,4,1477,2,180.0,165.0,1.0,4.916666666666667,0,25,3,0.5628227194492255,3,0
0,5,0,4,0,0,1,6,1488,2,170.0,143.0,0.9444444444444444,5.841176470588235,0,8,7,0.5817555938037866,3,0
4,5,0,4,0,0,1,0,1444,1,180.0,168.0,1.0,5.933333333333334,0,13,3,0.5060240963855421,2,0
4,6,0,4,0,0,1,6,1420,1,180.0,162.0,1.0,6.9,0,5,7,0.46632124352331605,2,0
1,0,1,4,0,0,0,1,1443,3,180.0,172.0,1.0,0.9555555555555556,0,5,3,0.5327272727272727,2,0
1,1,1,4,0,0,0,4,1521,4,180.0,173.0,1.0,1.9611111111111112,0,8,3,0.7777777777777778,2,1
8,5,1,4,0,0,1,0,1553,3,174.0,168.0,0.9666666666666668,5.965517241379311,0,5,7,0.693631669535284,2,0
8,6,1,4,1,0,1,0,1303,1,180.0,172.0,1.0,6.955555555555556,0,14,7,0.26424870466321243,2,-2
3,6,1,4,1,0,1,4,1423,1,180.0,179.0,1.0,6.9944444444444445,0,28,7,0.47150259067357514,1,0
3,5,1,4,0,0,1,4,1609,4,170.0,146.0,0.9444444444444444,5.858823529411764,1,21,3,0.7900172117039587,5,0
3,1,1,4,0,0,1,1,1576,4,180.0,174.0,1.0,1.9666666666666668,0,3,7,0.8930817610062893,5,0
3,2,1,4,0,0,1,5,1524,3,180.0,177.0,1.0,2.9833333333333334,0,13,7,0.68,5,-1
3,3,1,4,0,0,1,5,1478,2,180.0,177.0,1.0,3.983333333333333,1,20,3,0.6283524904214559,5,-1
3,4,1,4,0,0,1,0,1535,3,180.0,179.0,1.0,4.9944444444444445,0,18,3,0.6626506024096386,5,1
6,5,0,4,0,0,1,0,1363,1,157.0,152.0,0.8722222222222222,5.968152866242038,0,14,3,0.36660929432013767,1,0
1,5,0,4,1,0,1,1,1436,1,180.0,177.0,1.0,5.983333333333333,0,6,7,0.49225473321858865,2,0
1,6,0,4,1,0,1,6,1477,2,180.0,177.0,1.0,6.983333333333333,0,24,7,0.5647668393782384,2,1
0,5,1,4,0,0,1,1,1566,4,180.0,179.0,1.0,5.9944444444444445,0,32,7,0.7160068846815835,2,0
